 1 RANKED  8760   HOUR AVERAGE  CONCENTRATION VALUES AT EACH RECEPTOR  

         DSLPM         1     (ug/m**3)    
         (24 hours/day processed)
     RECEPTOR (x,y) km        1 RANK     NLAT_WGS84  ELON_WGS84
 
     525.133  5030.614     7.8318E-01      45.428593 -122.678711
     525.629  5030.324     1.5258E+00      45.425968 -122.672386
     525.926  5029.851     1.8083E+00      45.421700 -122.668610
     524.853  5028.886     9.1228E-01      45.413055 -122.682373
     522.318  5028.680     1.0266E+00      45.411285 -122.714783
     523.695  5029.538     1.7269E+00      45.418961 -122.697144
     525.632  5029.508     1.7499E+00      45.418621 -122.672386
     521.242  5029.094     1.9109E+00      45.415047 -122.728516
     520.612  5028.279     2.7170E+00      45.407726 -122.736603
     522.252  5029.912     6.5069E-01      45.422375 -122.715569
     522.267  5030.764     1.7241E+00      45.430046 -122.715340
     521.251  5030.238     8.5815E-01      45.425339 -122.728355
     520.459  5030.306     9.9362E-01      45.425976 -122.738472
     521.802  5027.486     2.2343E+00      45.400551 -122.721428
     520.872  5027.384     1.6756E+00      45.399662 -122.733315
     520.573  5026.432     1.9963E+00      45.391102 -122.737175
     521.344  5026.229     2.6722E+00      45.389252 -122.727333
     524.190  5028.260     1.1236E+00      45.407440 -122.690880
     524.190  5028.260     1.1236E+00      45.407440 -122.690880
     524.019  5027.478     1.7069E+00      45.400410 -122.693108
     522.973  5026.405     1.3656E+00      45.390781 -122.706520
     526.014  5023.983     9.7872E-01      45.368877 -122.667801
     528.332  5026.506     1.8330E+00      45.391495 -122.638054
     526.758  5025.990     1.0313E+00      45.386917 -122.658188
     525.544  5027.806     1.2471E+00      45.403309 -122.673599
     526.448  5027.816     1.9306E+00      45.403362 -122.662048
     529.987  5024.300     1.3936E+00      45.371571 -122.617043
     529.263  5023.730     8.2257E-01      45.366470 -122.626320
     529.171  5022.779     6.0991E-01      45.357914 -122.627556
     527.931  5021.262     4.7271E-01      45.344315 -122.643471
     526.312  5021.628     1.0732E+00      45.347668 -122.664116
     527.731  5033.221     1.7597E+00      45.451965 -122.645355
     528.743  5032.184     2.1871E+00      45.442589 -122.632469
     528.700  5031.793     2.1626E+00      45.439072 -122.633041
     529.146  5034.097     1.5184E+00      45.459793 -122.627205
     529.062  5033.671     2.1372E+00      45.455959 -122.628304
     529.133  5033.089     2.6054E+00      45.450718 -122.627434
     531.056  5033.577     1.3219E+00      45.455029 -122.602806
     530.346  5033.604     1.3528E+00      45.455303 -122.611885
     529.957  5033.097     1.3906E+00      45.450756 -122.616890
     530.885  5032.050     1.6969E+00      45.441288 -122.605087
     530.068  5032.301     1.9964E+00      45.443584 -122.615524
     529.431  5032.500     2.3219E+00      45.445404 -122.623657
     527.766  5030.993     1.4111E+00      45.431908 -122.645027
     528.199  5030.344     1.2265E+00      45.426052 -122.639534
     528.526  5029.066     1.6592E+00      45.414532 -122.635429
     527.614  5028.646     1.3528E+00      45.410789 -122.647102
     527.484  5029.628     1.4852E+00      45.419632 -122.648712
     529.862  5029.784     1.4797E+00      45.420940 -122.618309
     529.022  5029.393     1.1642E+00      45.417458 -122.629066
     528.756  5030.805     2.4409E+00      45.430176 -122.632385
     531.130  5030.540     1.1815E+00      45.427689 -122.602051
     532.458  5033.763     1.5404E+00      45.456638 -122.584862
     532.378  5033.046     1.1390E+00      45.450188 -122.585938
     531.590  5033.230     1.6618E+00      45.451881 -122.596001
     531.748  5034.023     2.2440E+00      45.459011 -122.593925
     532.428  5031.667     1.3675E+00      45.437775 -122.585388
     531.697  5031.321     1.6941E+00      45.434692 -122.594757
     531.979  5032.323     1.2607E+00      45.443703 -122.591087
     528.972  5027.606     1.5408E+00      45.401371 -122.629814
     530.060  5025.739     2.3873E+00      45.384518 -122.616028
     530.331  5028.844     2.6259E+00      45.412460 -122.612373
     531.383  5028.242     2.4464E+00      45.406994 -122.598969
     529.847  5028.007     1.1148E+00      45.404945 -122.618607
     530.535  5027.133     1.1861E+00      45.397045 -122.609871
     531.001  5025.975     2.1373E+00      45.386604 -122.603989
     531.474  5025.011     1.5096E+00      45.377907 -122.598007
     532.089  5026.497     1.0835E+00      45.391254 -122.590057
     532.046  5025.343     1.5733E+00      45.380867 -122.590683
     532.812  5028.869     1.4793E+00      45.412571 -122.580666
     532.945  5027.455     1.6421E+00      45.399837 -122.579056
     538.149  5029.579     5.9595E-01      45.418694 -122.512405
     533.354  5026.720     1.4291E+00      45.393204 -122.573883
     533.750  5029.283     1.2912E+00      45.416256 -122.568649
     535.798  5027.501     5.7672E-01      45.400112 -122.542603
     534.702  5030.269     1.0690E+00      45.425083 -122.556412
     535.844  5029.240     1.1494E+00      45.415764 -122.541893
     533.177  5033.727     1.0508E+00      45.456280 -122.575668
     533.323  5032.086     8.5577E-01      45.441502 -122.573914
     539.117  5032.393     7.7570E-01      45.443966 -122.499809
     537.129  5032.374     1.2095E+00      45.443905 -122.525230
     534.305  5032.283     1.6101E+00      45.443230 -122.561348
