 1 RANKED  8760   HOUR AVERAGE  CONCENTRATION VALUES AT EACH RECEPTOR  

         DSLPM         1     (ug/m**3)    
         (24 hours/day processed)
     RECEPTOR (x,y) km        1 RANK     NLAT_WGS84  ELON_WGS84
 
     513.971  5020.112     1.2062E+00      45.334373 -122.821693
     516.737  5017.862     1.5042E+00      45.314060 -122.786469
     512.666  5015.859     6.9136E-01      45.296120 -122.838463
     516.794  5015.838     1.4499E+00      45.295841 -122.785812
     519.230  5015.125     1.2691E+00      45.289364 -122.754776
     518.515  5013.970     1.1091E+00      45.278988 -122.763931
     521.534  5011.249     1.3096E+00      45.254406 -122.725563
     527.348  5012.811     2.6244E+00      45.268265 -122.651382
     523.683  5014.923     5.2455E+00      45.287407 -122.697998
     523.222  5012.135     3.8756E+00      45.262325 -122.704010
     524.700  5013.035     2.8768E+00      45.270382 -122.685127
     524.134  5013.197     4.0193E+00      45.271854 -122.692329
     523.330  5013.067     5.6448E+00      45.270714 -122.702583
     523.668  5010.692     1.4380E+00      45.249325 -122.698387
     524.832  5011.545     2.2221E+00      45.256962 -122.683517
     524.121  5011.745     4.0696E+00      45.258789 -122.692566
     525.079  5012.151     3.1064E+00      45.262405 -122.680336
     524.246  5011.271     2.6927E+00      45.254517 -122.690994
     537.097  5017.059     9.1267E-01      45.306057 -122.526787
     531.622  5014.724     1.0441E+00      45.285305 -122.596779
     537.933  5013.505     6.5412E-01      45.274017 -122.516396
     541.033  5023.761     1.0174E+00      45.366161 -122.476028
     545.930  5021.078     6.7436E-01      45.341709 -122.413750
     541.122  5018.587     7.3982E-01      45.319584 -122.475319
     543.611  5030.466     1.1168E+00      45.426353 -122.442520
     543.371  5032.512     1.2714E+00      45.444786 -122.445404
     541.795  5030.655     1.5024E+00      45.428165 -122.465714
     543.186  5029.159     1.1058E+00      45.414619 -122.448067
     542.812  5027.598     1.0928E+00      45.400593 -122.452980
     539.785  5028.228     2.5948E+00      45.406441 -122.491608
     546.970  5032.118     8.5221E-01      45.441010 -122.399422
     548.144  5028.882     7.2203E-01      45.411800 -122.384727
     549.763  5032.746     7.2546E-01      45.446468 -122.363647
     553.361  5031.519     5.7030E-01      45.435158 -122.317780
     557.021  5033.114     5.1375E-01      45.449223 -122.270805
     553.362  5027.146     6.8092E-01      45.395798 -122.318237
     555.884  5029.231     2.7339E+00      45.414368 -122.285782
     557.874  5028.930     7.4874E-01      45.411495 -122.260384
     558.207  5026.939     1.1017E+00      45.393547 -122.256371
     556.609  5027.317     2.3967E+00      45.397079 -122.276733
     557.790  5025.905     8.9342E-01      45.384274 -122.261818
     549.395  5025.146     6.2747E-01      45.378086 -122.369118
     556.983  5022.351     3.6331E-01      45.352356 -122.272530
     549.910  5019.684     7.3943E-01      45.328888 -122.363091
     553.443  5019.033     5.5256E-01      45.322769 -122.318077
     552.872  5022.115     4.8896E-01      45.350555 -122.325035
     544.688  5012.839     4.4999E-01      45.267628 -122.430344
     548.848  5011.913     3.7248E-01      45.259018 -122.377411
     552.495  5012.897     8.5010E-01      45.267609 -122.330826
     532.068  5010.509     7.1986E-01      45.247341 -122.591362
     539.164  5010.616     5.1050E-01      45.247952 -122.500931
     524.067  5009.561     1.2813E+00      45.239132 -122.693359
     525.569  5009.528     1.1185E+00      45.238777 -122.674225
     551.918  5016.398     3.0054E+00      45.299164 -122.337814
     553.163  5015.300     5.8692E-01      45.289188 -122.322052
     554.336  5016.138     1.6857E+00      45.296642 -122.307007
     557.418  5011.615     2.3586E-01      45.255688 -122.268227
     558.458  5014.096     2.4146E-01      45.277935 -122.254677
     559.854  5031.375     4.2609E-01      45.433334 -122.234787
     560.373  5026.912     4.3511E-01      45.393124 -122.228699
     559.701  5018.642     2.5238E-01      45.318745 -122.238281
     501.348  5070.970     2.3667E-01      45.792290 -122.982658
     508.988  5070.817     5.6729E-01      45.790855 -122.884361
     514.412  5067.528     7.6213E-01      45.761158 -122.814674
     509.717  5067.167     9.4454E-01      45.757992 -122.875053
     510.769  5065.184     7.5754E-01      45.740131 -122.861572
     509.232  5066.185     1.0242E+00      45.749161 -122.881310
